-5.00500500501 9.929181962834303e-12
-4.99499499499 1.1402204111479732e-11
-4.98498498498 1.3059306395698866e-11
-4.97497497497 1.491929885392947e-11
-4.96496496496 1.7002575532710185e-11
-4.95495495495 1.9331246884123598e-11
-4.94494494494 2.192928677565009e-11
-4.93493493493 2.4822695586891924e-11
-4.92492492492 2.8039680914430163e-11
-4.91491491491 3.161085745284872e-11
-4.9049049049 3.5569467669369475e-11
-4.89489489489 3.995162494441051e-11
-4.88488488488 4.479658091358265e-11
-4.87487487487 5.0147018821014395e-11
-4.86486486486 5.60493747821513e-11
-4.85485485485 6.255418895884597e-11
-4.84484484484 6.971648877291901e-11
-4.83483483483 7.759620642846114e-11
-4.82482482482 8.625863317969876e-11
-4.81481481481 9.577491297173986e-11
-4.8048048048 1.062225782971653e-10
-4.79479479479 1.176861313532425e-10
-4.78478478478 1.3025767385332564e-10
-4.77477477477 1.440375891424681e-10
-4.76476476476 1.5913528059201394e-10
-4.75475475475 1.7566997060153042e-10
-4.74474474474 1.9377156491950952e-10
-4.73473473473 2.1358158740744166e-10
-4.72472472472 2.3525419081595964e-10
-4.71471471471 2.589572496176548e-10
-4.7047047047 2.8487354145002163e-10
-4.69469469469 3.1320202426508977e-10
-4.68468468468 3.4415921686121686e-10
-4.67467467467 3.7798069108908315e-10
-4.66466466466 4.149226846802008e-10
-4.65465465465 4.5526384434467464e-10
-4.64464464464 4.993071095281802e-10
-4.63463463463 5.473817480091712e-10
-4.62462462462 5.998455553595717e-10
-4.61461461461 6.570872311892306e-10
-4.6046046046 7.195289460502845e-10
-4.59459459459 7.87629113896558e-10
-4.58458458458 8.618853860799113e-10
-4.57457457457 9.428378840250258e-10
-4.56456456456 1.0310726889617728e-09
-4.55455455455 1.1272256084157474e-09
-4.54454454454 1.2319862405688041e-09
-4.53453453453 1.3461023591086214e-09
-4.52452452452 1.4703846427964826e-09
-4.51451451451 1.6057117757021646e-09
-4.5045045045 1.7530359458918982e-09
-4.49449449449 1.91338877231708e-09
-4.48448448448 2.0878876917463054e-09
-4.47447447447 2.2777428398195256e-09
-4.46446446446 2.4842644626898378e-09
-4.45445445445 2.708870898264901e-09
-4.44444444444 2.953097168775851e-09
-4.43443443443 3.2186042292977146e-09
-4.42442442442 3.507188919931664e-09
-4.41441441441 3.820794672648413e-09
-4.4044044044 4.161523027294644e-09
-4.39439439439 4.531646014994003e-09
-4.38438438438 4.933619471143377e-09
-4.37437437437 5.370097344428701e-09
-4.36436436436 5.8439470727761946e-09
-4.35435435435 6.358266101931065e-09
-4.34434434434 6.91639962743195e-09
-4.33433433433 7.521959646143102e-09
-4.32432432432 8.17884540923593e-09
-4.31431431431 8.891265374595128e-09
-4.3043043043 9.663760763083172e-09
-4.29429429429 1.0501230829950862e-08
-4.28428428428 1.140895996995252e-08
-4.27427427427 1.2392646782436996e-08
-4.26426426426 1.3458435230861768e-08
-4.25425425425 1.4612948039844969e-08
-4.24424424424 1.5863322482054197e-08
-4.23423423423 1.721724871695985e-08
-4.22422422422 1.868301085378436e-08
-4.21421421421 2.0269530921886454e-08
-4.2042042042 2.19864159433649e-08
-4.19419419419 2.384400831488149e-08
-4.18418418418 2.5853439718623852e-08
-4.17417417417 2.8026688795991056e-08
-4.16416416416 3.037664283202873e-08
-4.15415415415 3.291716371390171e-08
-4.14414414414 3.566315844281813e-08
-4.13413413413 3.863065449584597e-08
-4.12412412412 4.1836880352043616e-08
-4.11411411411 4.530035151629982e-08
-4.1041041041 4.904096239430064e-08
-4.09409409409 5.3080084393158386e-08
-4.08408408408 5.7440670644504457e-08
-4.07407407407 6.214736777031871e-08
-4.06406406406 6.722663513650211e-08
-4.05405405405 7.270687206525059e-08
-4.04404404404 7.861855350472472e-08
-4.03403403403 8.499437468339056e-08
-4.02402402402 9.186940530679839e-08
-4.01401401401 9.92812538865404e-08
-4.004004004 1.072702428247516e-07
-3.99399399399 1.1587959491286494e-07
-3.98398398398 1.2515563194047926e-07
-3.97397397397 1.3514798614922906e-07
-3.96396396396 1.459098253075191e-07
-3.95395395395 1.5749809222502345e-07
-3.94394394394 1.699737595709961e-07
-3.93393393393 1.8340210090781466e-07
-3.92392392392 1.9785297890085344e-07
-3.91391391391 2.1340115171785961e-07
-3.9039039039 2.3012659868559117e-07
-3.89389389389 2.4811486632863506e-07
-3.88388388388 2.6745743597520386e-07
-3.87387387387 2.8825211417738e-07
-3.86386386386 3.106034472588532e-07
-3.85385385385 3.3462316137180055e-07
-3.84384384384 3.6043062951628655e-07
-3.83383383383 3.8815336705052734e-07
-3.82382382382 4.179275572987063e-07
-3.81381381381 4.4989860894482407e-07
-3.8038038038 4.842217469864943e-07
-3.79379379379 5.210626391117155e-07
-3.78378378378 5.605980594546373e-07
-3.77377377377 6.030165917833091e-07
-3.76376376376 6.485193742734203e-07
-3.75375375375 6.973208881273975e-07
-3.74374374374 7.496497924078226e-07
-3.73373373373 8.057498075683317e-07
-3.72372372372 8.658806502839432e-07
-3.71371371371 9.303190223063048e-07
-3.7037037037 9.99359656197832e-07
-3.69369369369 1.0733164209322e-06
-3.68368368368 1.152523490487327e-06
-3.67367367367 1.2373365787009726e-06
-3.66366366366 1.3281342438085337e-06
-3.65365365365 1.4253192662375495e-06
-3.64364364364 1.5293201033942776e-06
-3.63363363363 1.6405924253441446e-06
-3.62362362362 1.7596207354604895e-06
-3.61361361361 1.8869200802946293e-06
-3.6036036036 2.0230378531051747e-06
-3.59359359359 2.1685556956756432e-06
-3.58358358358 2.324091503247226e-06
-3.57357357357 2.490301537597648e-06
